死者を送る	SENDINGOFTHEDEAD/死之发送术/SendingoftheDead
復活	RESURRECTION/复活术/Resurrection
プリンのアンサタ十字	PRINN'SCRUXANSATA/蒲林的埃及十字架/Prinn'sCruxAnsata
旧き印	ELDERSIGN/旧印开光术/ElderSign
平凡な見せかけ	POSEMUNDANE/平凡无奇术/PoseMundane
仮面	MASK/平凡无奇术/PoseMundane
忘却の波	WAVEOFOBLIVION/忘却之波/WaveofOblivion
亡霊に命令する	COMMANDGHOST/鬼魂号令法/CommandGhost
炎の外套	CLOAKOFFIRE/火焰斗篷术/CloakofFire
マインドブラスト	MINDBLAST/精神震爆术/Mindblast
未来の視察	LOOKTOTHEFUTURE/未来观测术/LooktotheFuture
無欠の投擲	IMPECCABLETHROW/无瑕投掷法/ImpeccableThrow
向こう側への旅	JOURNEYTOTHEOTHERSIDE/彼端之旅/JourneytotheOtherSide
名状し難い誓約	UNSPEAKABLEPROMISE/不可名状的诺言/UnspeakablePromise
目の保護	WARDINGTHEEYE/邪眼守卫术/WardingtheEye
モートランのガラスの製造	CONJUREGLASSOFMOTLAN/莫特兰玻璃幻术/ConjureGlassofMortlan
門の観察	VIEWGATE/时空门观察术/ViewGate
門の創造	CREATEGATE/时空门创造术/CreateGate
門の発見	FINDGATE/时空门搜寻术/FindGate
病をもたらす	CAUSEDISEASE/致病术/CauseDisease
幽体の剃刀	SPECTRALRAZOR/灵体剃刀术/SoectralRazor
夢の映像	DREAMVISION/梦境幻象术/DreamVision
夢の薬の製去	BREWDREAMDRUG/入梦之药酿造术/BrewDreamDrug
夢みる人の罠	SNAREDREAMER/梦想家诱捕术/SnareDreamer
夢を送る	SENDDREAM/梦境发送术/SendDream
ヨグ＝ソトースのこぶし	FISTOFYOG-SOTHOTH/犹格-索托斯之拳/FistofYog-Sothoth
ラーの声	VOICEOFRA/拉神之声/VoiceofRa
リーチ	REACH/伸触术/Reach
